"feature","rho","p","padj","Genus","Phylum"
"Prevotella_pallens",-0.207660990427506,0.0371817476775773,0.113940974197524,"Prevotella","Bacteroidota"
"Eggerthia_catenaformis",0.207089574687329,0.0377184641166238,0.115288570269063,"Eggerthia","Bacillota"
"Porphyromonas_sp000768875",-0.206718762345299,0.0380702197154023,0.115979925157609,"Porphyromonas","Bacteroidota"
"Streptococcus_sp934201655",-0.206645815655064,0.0381397398962364,0.115979925157609,"Streptococcus","Bacillota"
"Neisseria_sicca_C",0.206469527820328,0.0383081859583302,0.116146019996273,"Neisseria","Pseudomonadota"
"Veillonella_sp905209685",-0.206384423348387,0.0383897273831247,0.116146019996273,"Veillonella","Bacillota_C"
"CAKAHY01_sp916439265",-0.206013611006357,0.0387467125653824,0.116880308279659,"CAKAHY01","Bacillota_A"
"Streptococcus_mitis_O",-0.205928506534416,0.0388290342897102,0.116880308279659,"Streptococcus","Bacillota"
"Haemophilus_D_pittmaniae",-0.205369248575945,0.0393736534607114,0.118220388799964,"Haemophilus_D","Pseudomonadota"
"Streptococcus_sanguinis_F",0.204396626039473,0.0403360260994553,0.120798047442331,"Streptococcus","Bacillota"
"Centipeda_noxia",-0.204262890440708,0.0404698756656696,0.120798047442331,"Centipeda","Bacillota_C"
"Actinomyces_sp915063485",-0.204196022641326,0.0405369393856097,0.120798047442331,"Actinomyces","Actinomycetota"
"Streptococcus_sp013277415",-0.203879920316973,0.0408552250749144,0.121442156535183,"Streptococcus","Bacillota"
"Streptococcus_parasanguinis_D",-0.203363214594472,0.0413799892116846,0.122695279732401,"Streptococcus","Bacillota"
"Pseudoramibacter_alactolyticus",0.203162611196325,0.04158523032765,0.122997111590985,"Pseudoramibacter","Bacillota_A"
"Bacteroides_D_sp905373475",-0.203022796706707,0.041728778519245,0.123115428435192,"Bacteroides_D","Bacteroidota"
"Paraeggerthella_hongkongensis_A",-0.202889061107943,0.04186647176894,0.123215928052648,"Paraeggerthella","Actinomycetota"
"Fusobacterium_periodonticum",-0.202402749839707,0.0423703706733304,0.124288718485651,"Fusobacterium","Fusobacteriota"
"Mitsuokella_multacida",-0.202335882040324,0.0424400502146126,0.124288718485651,"Mitsuokella","Bacillota_C"
"Ophiosphaerella_korrae",-0.201515231775177,0.0433030089697398,0.126504367727324,"Ophiosphaerella","Ascomycota"
"Quinella_sp015206805",-0.201059314961206,0.0437887061010176,0.12760973420125,"Quinella","Bacillota_C"
"Corynebacterium_kefirresidentii",-0.20057300369297,0.0443117674756448,0.128818316695701,"Corynebacterium","Actinomycetota"
"Mitsuokella_sp003458855",-0.200287295822881,0.0446214800750762,0.129374488998053,"Mitsuokella","Bacillota_C"
"Arachnia_propionica",-0.200196112460087,0.0447207022524807,0.129374488998053,"Arachnia","Actinomycetota"
"Streptococcus_sanguinis_I",0.199867852354028,0.0450794207331855,0.129972703714795,"Streptococcus","Bacillota"
"Nanoperiomorbus_sp905372225",-0.199807063445499,0.0451461115510601,0.129972703714795,"Nanoperiomorbus","Patescibacteria"
"Streptococcus_pneumoniae_C",-0.199612538938204,0.0453600728345044,0.13027325265755,"Streptococcus","Bacillota"
