species,category
Brevundimonas_sp002157625,GTDB_only
Brevundimonas_sp002430835,GTDB_only
Brevundimonas_sp002484265,GTDB_only
Brevundimonas_sp003248455,GTDB_only
Brevundimonas_sp003248965,GTDB_only
Brevundimonas_sp005484585,GTDB_only
Brevundimonas_sp016463295,GTDB_only
Brevundimonas_sp019746095,GTDB_only
Brevundimonas_sp023451375,GTDB_only
Brevundimonas_sp023456105,GTDB_only
Brevundimonas_sp024711185,GTDB_only
Brevundimonas_vesicularis,GTDB_only
Brevundimonas_vesicularis_A,GTDB_only
Brooklawnia_sp012517405,GTDB_only
Bulleidia_sp000701725,GTDB_only
Bulleidia_sp015256455,GTDB_only
Bulleidia_sp015256775,GTDB_only
Burkholderia_ambifaria,GTDB_only
Burkholderia_arboris,GTDB_only
Burkholderia_cepacia,GTDB_only
Burkholderia_lata,GTDB_only
Burkholderia_orbicola,GTDB_only
Burkholderia_stabilis,GTDB_only
Burkholderia_vietnamiensis,GTDB_only
Butyricimonas_paravirosa,GTDB_only
Butyricimonas_sp900184685,GTDB_only
Butyricimonas_virosa,GTDB_only
CADCTG01_sp902805625,GTDB_only
CADCTG01_sp902805645,GTDB_only
CADCVW01_sp902806235,GTDB_only
CADCWF01_sp023423795,GTDB_only
CADDZP01_sp019243595,GTDB_only
CAFBRK01_sp903231505,GTDB_only
CAG_103_sp000432375,GTDB_only
CAG_115_sp910587465,GTDB_only
CAG_170_sp000436735,GTDB_only
CAG_170_sp002404795,GTDB_only
