species,category
Streptococcus_cristatus_E,shared
Streptococcus_cristatus_F,shared
Streptococcus_dentisani,shared
Streptococcus_downei,shared
Streptococcus_gordonii,shared
Streptococcus_gwangjuense,shared
Streptococcus_halitosis,shared
Streptococcus_infantis,shared
Streptococcus_infantis_B,shared
Streptococcus_infantis_C,shared
Streptococcus_infantis_F,shared
Streptococcus_infantis_H,shared
Streptococcus_infantis_I,shared
Streptococcus_infantis_J,shared
Streptococcus_intermedius,shared
Streptococcus_lactarius,shared
Streptococcus_mitis,shared
Streptococcus_mitis_A,shared
Streptococcus_mitis_AC,shared
Streptococcus_mitis_AD,shared
Streptococcus_mitis_AF,shared
Streptococcus_mitis_AH,shared
Streptococcus_mitis_AI,shared
Streptococcus_mitis_AK,shared
Streptococcus_mitis_AP,shared
Streptococcus_mitis_AQ,shared
Streptococcus_mitis_AT,shared
Streptococcus_mitis_AV,shared
Streptococcus_mitis_AX,shared
Streptococcus_mitis_AY,shared
Streptococcus_mitis_AZ,shared
Streptococcus_mitis_BA,shared
Streptococcus_mitis_BB,shared
Streptococcus_mitis_BC,shared
Streptococcus_mitis_BD,shared
Streptococcus_mitis_BG,shared
Streptococcus_mitis_BH,shared
Streptococcus_mitis_BI,shared
Streptococcus_mitis_BJ,shared
Streptococcus_mitis_BK,shared
Streptococcus_mitis_BM,shared
Streptococcus_mitis_BN,shared
Streptococcus_mitis_BO,shared
Streptococcus_mitis_BQ,shared
Streptococcus_mitis_BR,shared
Streptococcus_mitis_BS,shared
Streptococcus_mitis_BT,shared
Streptococcus_mitis_C,shared
Streptococcus_mitis_D,shared
Streptococcus_mitis_E,shared
Streptococcus_mitis_H,shared
Streptococcus_mitis_I,shared
Streptococcus_mitis_J,shared
Streptococcus_mitis_K,shared
Streptococcus_mitis_L,shared
Streptococcus_mitis_N,shared
Streptococcus_mitis_O,shared
Streptococcus_mitis_P,shared
Streptococcus_mitis_Q,shared
Streptococcus_mitis_Y,shared
Streptococcus_mutans,shared
Streptococcus_oralis,shared
Streptococcus_oralis_AB,shared
Streptococcus_oralis_AC,shared
Streptococcus_oralis_AD,shared
Streptococcus_oralis_B,shared
Streptococcus_oralis_BA,shared
Streptococcus_oralis_BC,shared
Streptococcus_oralis_BD,shared
Streptococcus_oralis_BE,shared
Streptococcus_oralis_BF,shared
Streptococcus_oralis_BH,shared
Streptococcus_oralis_BI,shared
